geoid,name,population_e,white_e,black_e,asian_e,amind_e,hawpi_e,latino_e,medhhincome_e,inpoverty_e,fullname,shortname
35840,North Port-Sarasota-Bradenton,836995,642107,52937,15744,1165,35,109563,65526,75727,"North Port-Sarasota-Bradenton, FL Metro Area",Sarasota
36260,Ogden-Clearfield,683024,550130,6600,11533,3173,3727,90911,79251,37708,"Ogden-Clearfield, UT Metro Area",Ogden
36420,Oklahoma City,1408950,895599,143228,46776,52678,774,194888,60605,181062,"Oklahoma City, OK Metro Area",Oklahoma City
36540,Omaha-Council Bluffs,949726,716104,72636,29038,4766,998,103063,70373,84979,"Omaha-Council Bluffs, NE-IA Metro Area",Omaha
36740,Orlando-Kissimmee-Sanford,2608147,1177581,403976,114511,4244,1983,832426,61876,309279,"Orlando-Kissimmee-Sanford, FL Metro Area",Orlando
37100,Oxnard-Thousand Oaks-Ventura,846006,376524,15062,62586,1639,925,365835,92236,66011,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",Oxnard
37340,Palm Bay-Melbourne-Titusville,601942,443227,50620,15018,1021,623,65612,57305,51942,"Palm Bay-Melbourne-Titusville, FL Metro Area",Palm Bay
37980,Philadelphia-Camden-Wilmington,6102434,3719986,1241680,372629,8076,1645,601242,74533,699913,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia
38060,Phoenix-Mesa-Chandler,4948203,2696587,268757,193178,98297,10635,1551131,67896,587560,"Phoenix-Mesa-Chandler, AZ Metro Area",Phoenix
38300,Pittsburgh,2317600,1968599,187078,56398,1503,310,43672,62638,246125,"Pittsburgh, PA Metro Area",Pittsburgh
38900,Portland-Vancouver-Hillsboro,2493221,1803456,69496,172633,13980,12753,309230,78439,236844,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland
39100,Poughkeepsie-Newburgh-Middletown,679158,448859,73801,20854,646,268,120962,85152,70140,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",Poughkeepsie
39300,Providence-Warwick,1624578,1203625,87900,49368,3781,339,221210,70967,173218,"Providence-Warwick, RI-MA Metro Area",Providence
39340,Provo-Orem,649603,531583,2802,8588,2317,5903,78060,79152,63274,"Provo-Orem, UT Metro Area",Provo
39580,Raleigh-Cary,1390785,843984,274282,85820,4813,95,151259,80096,121022,"Raleigh-Cary, NC Metro Area",Raleigh
40060,Richmond,1290866,735828,377996,50024,2922,259,85506,68324,126045,"Richmond, VA Metro Area",Richmond
40140,Riverside-San Bernardino-Ontario,4650631,1428811,320161,322238,18275,14506,2422840,70954,555948,"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside
40380,Rochester,1069644,813931,116164,29367,1836,187,83007,62104,127350,"Rochester, NY Metro Area",Rochester
40900,Sacramento-Roseville-Folsom,2363730,1212448,159301,321496,11084,20709,519915,76706,276966,"Sacramento-Roseville-Folsom, CA Metro Area",Sacramento
41180,St. Louis,2801423,2057111,503088,76706,6116,1925,88038,66417,272601,"St. Louis, MO-IL Metro Area",St. Louis
41620,Salt Lake City,1232696,872325,22262,48199,8165,18466,227598,80196,104645,"Salt Lake City, UT Metro Area",Salt Lake City
41700,San Antonio-New Braunfels,2550960,846420,160748,62462,5446,2607,1420687,62355,338954,"San Antonio-New Braunfels, TX Metro Area",San Antonio
